Original Row Number,02 Gender,03 Height (in.),04 Weight (lbs.),05 Desired Weight (lbs.),06 Class Level,07 Born in TN?,08 Member of Frat/Sorority?,09 Current GPA,10 Where Do You Sit?,11 Type Of Computer Used?,12 Text Messages Sent Per Day,13 $ Spent on Haircut,14 Percent of Tuition You Pay,15 One or More Parents College Grad?,16 Hours Working a Job Per Week,17 Minutes Per Day on "Facebook",18 Talk on Cell Phone While Driving?,19 Read Text Messages While Driving?,20 Send Text Messages While Driving?,21 Number of Tattoos,22 Number of Body Piercings,23 Grade in Math 125,24 Expected Grade in Stat 201,25 Left or Right Handed?,26 Hand You Hold Phone to Ear,27 Which Wrist Wear Watch,28 Introvert or Extravert,29 Fold or Crumple Toilet Paper,30 Hours per Week Playing Video Games,31 Fold Hands - Thumb on Top?,32 Fuel Efficiency (mpg),33 Distance from Home to UT,34 Hair Color,35 Own an e-Reader?,36 Percentage Dateable,37 Cell Phone Contacts,38 Cell Phone Contacts Gender Majority,39 Right Foot Bigger Toe,40 Left Foot Bigger Toe,41 Percent UT You Are More Attractive Than,42 Percent UT You Are More Intelligent Than,43 Percent UT You Are More Athletic Than,44 Percent UT You Are Funnier Than,45 Percent UT You Are More Wealthy Than,46 Change in Pocket/Purse,47 Significant Other?,48 Your Own Attractiveness Rating,49 Number of Vol Football Games Attended,50 Favorite TV Show,Studentized Resid 42 Percent UT You Are More Intelligent Than,h 42 Percent UT You Are More Intelligent Than,Cook's D Influence 42 Percent UT You Are More Intelligent Than
26,Male,72,182,180,Senior,Yes,No,3.06,Near the Back,PC,10,15,100,Yes,20,3,Frequently,Occasionally,Occasionally,0,0,A,A,Right,Varies,Left,Extravert,Fold,6,Right,25,38.2,Brown,No,0,100,Males,Big Toe,Big Toe,85,95,95,60,75,0,Yes,85,10,Sportscenter,0.4936139162,0.019487282,0.0002017723
27,Female,70,150,130,Freshman,Yes,No,0,Near the Front,PC,60,30,100,No,0,30,Occasionally,Frequently,Occasionally,0,2,A,B,Right,Left,Left,Introvert,Fold,0,Right,0,335,Blond,No,50,60,Same,Big Toe,Big Toe,20,50,25,80,15,0.91,Yes,20,3,The Office,1.3603839198,0.0841146334,0.0070817758
28,Female,66,138,128,Sophomore,Yes,Yes,4,Near the Front,Mac,50,35,0,Yes,0,150,Occasionally,Never,Never,0,4,A,A,Right,Right,Right,Introvert,Crumple,0,Right,0,380,Brown,No,50,321,Females,Big Toe,Big Toe,60,75,75,50,50,23.78,No,70,11,Lost,0.7371281071,0.021664381,0.0005013409
29,Male,74,230,210,Junior,Yes,No,3.96,Near the Front,PC,100,20,0,No,0,45,On Rare Occasions,Frequently,Occasionally,0,0,A,A,Right,Right,Left,Introvert,Fold,3,Left,16,32,Brown,No,50,150,Same,Big Toe,Big Toe,20,70,30,10,10,0,No,45,50,Baseball Tonight,1.7119822981,0.0280379116,0.0035227647
30,Male,73,170,175,Sophomore,Yes,No,3.14,Near the Back,PC,100,7,25,Yes,15,15,Never,Frequently,Occasionally,0,0,C,A,Ambidextrous,Varies,Right,Extravert,Crumple,1,Left,33,21,Brown,No,1,200,Same,Same,Same,65,90,75,50,90,100,Yes,75,20,castle,0.9343749784,0.0486728815,0.0018611798
31,Male,72,185,185,Junior,Yes,No,3,Around the Middle,PC,30,12,100,Yes,0,30,Occasionally,Frequently,On Rare Occasions,0,0,A-,A,Right,Right,Right,Introvert,Fold,0,Left,20,190,Brown,No,30,200,Same,Big Toe,Big Toe,90,50,80,90,60,0,Yes,85,20,Entourage,-1.93433018,0.0160972304,0.0025506387
32,Female,62,170,140,Junior,Yes,No,3.91,Near the Front,Mac,20,25,0,Yes,0,120,On Rare Occasions,Occasionally,Never,0,4,A,A,Right,Varies,Left,Extravert,Fold,0,Right,34,102,Brown,No,25,166,Females,Same,Same,15,90,40,70,50,0.5,No,70,11,Saturday Night Live,1.8476432866,0.0250270568,0.0036512556
33,Female,66,139,130,Junior,Yes,No,3.86,Around the Middle,PC,55,75,100,Yes,0,90,Occasionally,Frequently,Occasionally,0,0,A,A,Right,Varies,Right,Extravert,Crumple,1,Right,30,189,Blond,No,30,200,Same,Second Toe,Same,64,64,97,80,55,6.88,No,75,3,Law & Order,-1.105017789,0.0338034579,0.0017800121
34,Male,73,243,225,Sophomore,Yes,Yes,3.53,Around the Middle,Mac,50,15,0,Yes,0,90,Occasionally,Occasionally,Occasionally,0,0,A,A,Right,Right,Left,Introvert,Fold,1,Right,15,232,Brown,No,50,76,Males,Second Toe,Second Toe,50,90,40,75,60,0.31,Yes,60,40,Dirty Jobs,1.3714265801,0.0220347549,0.0017657072
35,Female,68,115,110,Sophomore,Yes,No,3.5,Around the Middle,PC,50,0,0,Yes,0,180,On Rare Occasions,Frequently,Frequently,0,5,A,B+,Right,Right,Left,Extravert,Crumple,0,Left,25,11.2,Blond,No,75,300,Males,Big Toe,Big Toe,75,50,25,75,75,6,No,8,30,90210,-0.96737285,0.0697833457,0.0029251236
36,Female,66,125,120,Sophomore,Yes,No,3.83,Around the Middle,PC,60,30,0,Yes,0,60,Occasionally,Occasionally,Occasionally,0,2,A,A,Right,Right,Left,Extravert,Crumple,0,Left,18,93.6,Blond,No,20,222,Same,Big Toe,Big Toe,50,80,70,70,50,2.66,No,80,40,Grey's Anatomy,0.962901282,0.0100199641,0.0003910137
37,Female,65,130,125,Junior,Yes,No,3.9,Around the Middle,Mac,150,20,0,Yes,0,120,Frequently,On Rare Occasions,On Rare Occasions,0,4,A,A,Right,Varies,Left,Extravert,Varies,3,Left,26,382.02,Red,No,65,126,Same,Big Toe,Big Toe,40,70,40,60,40,64,No,63,16,Grey's Anatomy,0.6657096221,0.0287555306,0.0005467027
38,Female,67,152,125,Sophomore,Yes,Yes,3.51,Around the Middle,PC,100,80,0,Yes,0,20,On Rare Occasions,On Rare Occasions,Never,0,5,A,B+,Right,Varies,Left,Extravert,Fold,0,Left,31,180,Brown,No,15,273,Same,Big Toe,Same,5,20,40,50,25,0.92,No,45,16,Grey's Anatomy,-1.085297874,0.0258234137,0.0013009561
39,Female,63,145,130,Senior,Yes,No,2.3,Near the Front,PC,30,50,100,No,0,35,Practically Every Time I Drive,Practically Every Time I Drive,Practically Every Time I Drive,1,2,D+,B-,Right,Varies,Left,Extravert,Fold,0,Right,30,205,Brown,No,1,144,Females,Same,Same,87,70,2,30,30,0.55,Yes,80,7,Entourage,0.4087023283,0.0393622166,0.0002851825
40,Female,62,112,112,Freshman,Yes,No,4,The Front Row,PC,250,15,0,Yes,0,40,Occasionally,Frequently,Frequently,0,5,A,A,Right,Right,Left,Extravert,Crumple,0,Left,24,386,Brown,No,5,90,Same,Big Toe,Big Toe,75,96,50,50,40,10,Yes,70,7,The Office,1.6083890237,0.0227973955,0.0025146154
41,Female,66,200,160,Junior,Yes,Yes,3.45,Near the Front,PC,50,30,0,No,0,5,Frequently,Occasionally,On Rare Occasions,0,2,A,A,Right,Right,Left,Extravert,Varies,1,Left,25,4.4,Blond,No,1,100,Same,Big Toe,Big Toe,10,10,5,5,1,0.95,Yes,70,2,NCIS,-1.222980093,0.0255020084,0.0016308761
42,Male,65,150,135,Senior,No,Yes,3.64,Near the Front,PC,10,0,0,No,15,60,Occasionally,On Rare Occasions,On Rare Occasions,0,0,A,A,Right,Varies,Left,Introvert,Fold,0,Right,30,375,Black,No,10,176,Same,Same,Same,95,98,90,95,10,0.5,Yes,80,10,The Simpsons,0.8260368996,0.0317679366,0.0009328186
43,Female,65,116,115,Sophomore,Yes,No,4,Near the Front,Mac,30,30,8,Yes,6,45,Occasionally,Occasionally,On Rare Occasions,0,2,A,A,Ambidextrous,Varies,Right,Extravert,Varies,0,Right,30,180,Brown,No,10,124,Females,Big Toe,Big Toe,75,45,65,75,50,0.32,No,84,11,The OC,-1.728187115,0.0115868523,0.001458805
44,Male,75,185,180,Junior,Yes,No,3.3,Near the Back,PC,30,0,25,No,15,30,Occasionally,Occasionally,Occasionally,0,0,B+,A-,Right,Right,Left,Extravert,Fold,8,Right,18,220,Black,No,1,100,Same,Big Toe,Big Toe,95,70,60,50,70,0,No,85,60,Entourage,-0.385086513,0.0206895257,0.0001305376
45,Female,67,128,125,Sophomore,Yes,No,4,Around the Middle,PC,20,40,0,Yes,0,120,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,2,A,A,Right,Right,Left,Introvert,Fold,2,Right,30,10.7,Blond,No,50,40,Females,Big Toe,Same,40,80,20,30,50,2.3,No,50,4,The Office,1.412991986,0.0162716572,0.00137602
46,Male,69,140,150,Junior,Yes,Yes,3.15,Around the Middle,PC,10,12,50,No,15,60,Occasionally,On Rare Occasions,On Rare Occasions,0,0,C,A,Right,Varies,Left,Introvert,Fold,0,Right,18,245,Blond,No,25,285,Males,Same,Same,50,60,70,40,30,7,No,60,25,espn college gameday,0.243922047,0.0107994334,0.000027065
47,Female,67,150,140,Senior,Yes,No,2.8,Near the Front,Mac,1000,25,0,Yes,15,180,Occasionally,Practically Every Time I Drive,Practically Every Time I Drive,1,7,C+,A,Right,Varies,Right,Extravert,Varies,0,Right,22,181,Brown,No,15,320,Same,Second Toe,Second Toe,70,25,60,50,50,4,No,85,7,Desperate Housewives,-0.492414537,0.1427131237,0.0016818537
48,Female,65,130,120,Sophomore,No,Yes,3.2,Around the Middle,Mac,100,35,0,Yes,0,4,Occasionally,Frequently,Frequently,0,3,B,A-,Right,Right,Left,Extravert,Crumple,0,Right,0,197,Brown,No,40,283,Females,Same,Same,65,45,23,15,50,0,Yes,70,25,greys anatomy,-0.146173189,0.0206848343,0.0000188042
49,Male,62,200,190,Junior,No,Yes,3.79,Near the Front,PC,5,13,0,Yes,0,15,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,0,A-,B+,Right,Right,Left,Introvert,Fold,4,Left,18,175,Brown,No,25,65,Males,Second Toe,Second Toe,50,70,75,25,80,4,Yes,85,20,Deadliest Catch,-0.057615679,0.040668951,5.8636035e-6
50,Female,66,190,160,Sophomore,Yes,Yes,3.35,Around the Middle,PC,60,15,0,No,0,30,Occasionally,On Rare Occasions,On Rare Occasions,0,3,A,A-,Right,Left,Left,Introvert,Fold,0,Right,20,340,Brown,No,0,170,Same,Big Toe,Big Toe,15,25,10,30,0,0.79,No,60,12,Two and a half men,-0.591422541,0.0184828388,0.000274445
51,Female,66,125,115,Junior,Yes,No,3.52,Near the Front,Mac,60,40,0,Yes,5,20,Occasionally,Frequently,Frequently,0,2,A,A,Right,Right,Left,Extravert,Crumple,0,Right,29,10.05,Brown,No,20,100,Same,Big Toe,Big Toe,20,40,20,30,10,0.47,Yes,70,50,Lost,0.1673885318,0.015111318,0.0000179125
52,Male,72,250,200,Junior,Yes,No,3.43,Around the Middle,PC,15,14,0,Yes,0,120,On Rare Occasions,On Rare Occasions,Never,0,0,B-,A,Right,Right,Right,Introvert,Fold,6,Left,17,15.74,Brown,No,80,89,Same,Second Toe,Second Toe,50,70,46,70,40,15.37,No,69,40,Chuck,0.3941876875,0.0281387643,0.0001874544
53,Female,69,134,134,Junior,No,No,3.2,Around the Middle,Mac,40,40,100,Yes,26,0,On Rare Occasions,On Rare Occasions,On Rare Occasions,2,4,A,A,Right,Left,Right,Introvert,Fold,8,Left,21,5,Red,No,0,148,Females,Second Toe,Second Toe,86,86,46,86,86,100,Yes,94,6,Family Guy,-0.049625978,0.064801165,7.1102648e-6
54,Female,63,116,116,Junior,Yes,No,3.72,Near the Front,Mac,50,40,100,Yes,0,90,Occasionally,Frequently,Occasionally,1,2,A-,A,Right,Right,Right,Introvert,Crumple,0,Right,20,206,Red,No,50,85,Same,Same,Same,70,90,20,50,50,0,No,85,15,Glee,1.1264966487,0.026882218,0.001460657
55,Female,62,165,120,Junior,Yes,No,3.17,Near the Back,PC,100,0,100,Yes,20,120,Frequently,Frequently,Frequently,2,2,A-,B,Right,Left,Left,Introvert,Varies,1,Left,25,34,Black,No,5,64,Females,Big Toe,Big Toe,90,60,60,60,30,0,Yes,75,0,Teen Mom,-0.892069893,0.0398639443,0.0013766832
56,Male,75.6,221,210,Junior,No,No,3.1,Near the Back,PC,90,35,0,Yes,0,45,Occasionally,Practically Every Time I Drive,Practically Every Time I Drive,0,0,B+,A-,Right,Varies,Left,Introvert,Crumple,2.5,Right,22,0.2,Brown,No,50,292,Same,Second Toe,Second Toe,60,60,80,70,75,0,Yes,85,25,Sons of Anarchy,-0.303192706,0.0177321692,0.0000691446
57,Male,70,176,173,Junior,No,No,3,Near the Front,PC,5,20,70,Yes,0,1,Occasionally,Occasionally,On Rare Occasions,0,0,C+,A,Right,Right,Left,Introvert,Fold,0,Left,0,0,Brown,Yes,85,400,Females,Same,Same,80,80,35,85,60,70,No,85,8,gossip girl,0.3416651589,0.0524158509,0.0002690512
58,Female,62,108,108,Freshman,No,No,1.58,Near the Front,Mac,50,20,0,Yes,0,30,Occasionally,On Rare Occasions,On Rare Occasions,3,5,B-,A,Right,Right,Right,Introvert,Fold,0,Right,34,114.24,Brown,No,25,91,Same,Same,Same,75,50,30,50,50,1.15,Yes,80,10,true blood,0.0243896645,0.0510825635,1.3342729e-6
59,Male,72,181,215,Junior,No,Yes,2.96,Near the Front,PC,21,12,0,Yes,0,115,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,0,C+,B,Right,Varies,Left,Extravert,Crumple,1,Left,18,267,Brown,No,30,267,Males,Big Toe,Second Toe,90,65,85,55,35,2,No,94,12,"America: The Story of Us."If you don't like America, than you can git out!"",-0.136013772,0.0253680893,0.0000200633
60,Female,69,130,128,Sophomore,No,No,4,Near the Front,PC,30,15,0,Yes,0,70,On Rare Occasions,Occasionally,On Rare Occasions,0,2,A,A,Right,Right,Left,Introvert,Crumple,0,Right,40,36,Blond,No,10,36,Females,Big Toe,Big Toe,50,90,40,30,40,1.19,Yes,70,0,Gilmore Girls,1.728196792,0.017248826,0.0021841935
61,Female,66,120,120,Sophomore,Yes,Yes,3.42,Near the Back,Mac,75,30,0,Yes,6,60,Practically Every Time I Drive,Occasionally,On Rare Occasions,0,2,A,A-,Right,Left,Left,Introvert,Crumple,0,Right,17,14,Brown,No,6,200,Same,Big Toe,Big Toe,50,50,30,15,20,1.84,Yes,80,25,Gossip Girls,0.4167200772,0.0118108224,0.0000864804
62,Female,68,100,120,Junior,Yes,No,3,The Back Row,Mac,100,50,0,Yes,5,120,Frequently,Practically Every Time I Drive,Practically Every Time I Drive,0,3,C+,B,Right,Right,Left,Extravert,Crumple,0,Left,18,0,Brown,No,70,120,Males,Big Toe,Big Toe,100,50,95,20,20,5.25,Yes,100,11,Greys anatomy,-0.408026658,0.0399191296,0.0002884291
63,Male,72,180,185,Sophomore,No,No,3.47,Near the Back,PC,60,0,40,Yes,0,150,Never,Frequently,Frequently,0,0,C+,A-,Right,Right,Left,Introvert,Fold,3,Left,0,0,Blond,No,20,100,Males,Second Toe,Second Toe,90,80,90,70,60,0,Yes,88,1,sportscenter,0.165566756,0.0203086382,0.000023677
64,Male,77,215,215,Senior,Yes,No,2.72,Around the Middle,PC,50,14,0,Yes,15,240,Frequently,Frequently,Frequently,0,0,C,A,Right,Right,Left,Introvert,Crumple,10,Right,0,374,Brown,No,25,149,Males,Big Toe,Big Toe,40,60,60,20,40,0.15,No,50,14,the West Wing,1.0884472053,0.038643327,0.0019842366
65,Female,65,130,128,Junior,No,Yes,2.68,Around the Middle,Mac,500,175,0,Yes,0,2,Frequently,Frequently,On Rare Occasions,1,2,C+,B+,Right,Right,Right,Extravert,Crumple,0,Left,0,487,Blond,No,20,87,Females,Big Toe,Big Toe,10,50,70,10,45,0,No,80,5,Law and order svu,1.6476703594,0.1151940953,0.0147269097
66,Female,67,118,110,Senior,Yes,No,3.64,The Front Row,PC,40,20,0,Yes,0,45,Frequently,Frequently,Occasionally,0,2,A,A,Right,Right,Left,Extravert,Fold,0,Left,24,207,Blond,No,5,430,Males,Big Toe,Big Toe,50,80,65,60,20,0.12,Yes,50,35,Secret Life of an American Teenager,1.30059804,0.02392473,0.0017275821
67,Female,62,135,120,Sophomore,Yes,Yes,3.2,Around the Middle,Mac,10,40,0,Yes,8,180,Occasionally,Occasionally,Occasionally,0,2,A-,B+,Left,Varies,Right,Extravert,Crumple,0,Right,16,103,Brown,No,10,300,Females,Same,Second Toe,60,60,30,70,50,30,No,75,20,Keeping Up With The Kardashians,0.0102213939,0.0180397701,7.9973501e-8
68,Female,70.8,135,130,Senior,No,No,2.3,Near the Front,PC,15,100,100,Yes,20,30,Frequently,On Rare Occasions,On Rare Occasions,0,2,C+,A,Right,Varies,Left,Introvert,Crumple,0,Right,28,428,Brown,No,0,49,Same,Big Toe,Big Toe,75,75,50,50,50,25,Yes,90,5,King of Queens,0.5093607653,0.0382729976,0.0004302099
69,Female,67.5,130,108,Junior,Yes,No,3.19,Near the Back,PC,2,33,25,Yes,18,45,Never,Never,Never,0,2,A-,A,Right,Right,Left,Introvert,Crumple,0,Left,17,12,Blond,No,15,30,Same,Big Toe,Big Toe,70,70,50,25,65,0.68,No,75,6,Desperate Housewives,0.5033843592,0.020032903,0.0002158344
70,Female,63,132,123,Sophomore,Yes,Yes,3.2,Around the Middle,PC,100,40,0,No,0,90,Frequently,Frequently,Frequently,0,3,C-,B-,Right,Right,Left,Extravert,Fold,0,Left,23,178.24,Brown,No,30,258,Females,Big Toe,Big Toe,72,65,40,30,40,0.96,Yes,76,7,Teen Mom,0.4713284118,0.0104507838,0.0000977569
