GPA,PMAttractive,PMIntelligent,PMAthletic,PMFunnier,PMWeathier,Gender,Handedness,Personality,HairColor,SigOther,TextsPerDay,CellPhoneContacts
2.78,80,70,80,70,50,Male,Right,Extrovert,Brown,No,120,62
3.9,75,60,0,46,30,Female,Right,Introvert,Black,Yes,50,63
3.17,90,60,60,60,30,Female,Right,Introvert,Black,Yes,100,64
3.79,50,70,75,25,80,Male,Right,Introvert,Brown,Yes,5,65
2.97,40,75,30,90,30,Male,Right,Extrovert,Brown,No,7,65
3.61,70,60,30,40,30,Female,Right,Introvert,Brown,No,35,65
3.8,5,50,5,60,10,Female,Right,Introvert,Brown,Yes,30,66
3.2,69,68,50,50,68,Female,Right,Extrovert,Brown,No,30,66
3.83,30,70,50,60,50,Female,Right,Introvert,Brown,Yes,100,66
2.9,15,5,30,40,60,Male,Right,Introvert,Brown,No,25,68
2.66,10,50,0,5,10,Female,Right,Introvert,Brown,No,40,68
3.5,50,90,60,35,30,Female,Ambidextrous,Extrovert,Brown,Yes,200,68
3.6,40,30,20,40,30,Female,Right,Introvert,Black,Yes,10,70
2.8,60,50,70,70,50,Male,Right,Extrovert,Brown,No,10,70
0,25,65,10,40,15,Female,Left,Introvert,Brown,No,20,70
4,50,7,25,60,50,Female,Right,Introvert,Brown,No,20,70
3.5,30,20,40,30,30,Male,Right,Introvert,Brown,No,30,70
0,45,60,20,25,30,Female,Right,Extrovert,Brown,Yes,75,70
3.6,50,30,60,85,20,Female,Right,Extrovert,Brown,Yes,200,70
3.01,50,30,20,50,30,Male,Right,Extrovert,Brown,No,10,71
4,80,95,80,50,80,Female,Ambidextrous,Introvert,Brown,Yes,10,72
2.3,30,30,30,35,35,Male,Right,Extrovert,Brown,Yes,200,72
3.55,30,40,10,10,15,Female,Left,Introvert,Red,No,8,73
3.1,0,95,0,50,0,Female,Right,Introvert,Blond,Yes,61,74
3.49,30,85,50,75,30,Female,Right,Extrovert,Brown,Yes,4,75
3.3,0.5,99,1,50,50,Female,Right,Introvert,Brown,No,10,75
2.8,90,80,80,75,80,Male,Right,Extrovert,Brown,Yes,15,75
2.94,70,50,90,50,30,Male,Right,Introvert,Brown,No,15,75
3.5,15,25,7,5,10,Female,Left,Introvert,Brown,Yes,20,75
3.32,2,25,0,3,15,Female,Right,Introvert,Brown,Yes,20,75
3.51,98,94,97,80,65,Male,Left,Extrovert,Brown,Yes,30,75
0,20,70,75,20,20,Female,Right,Extrovert,Brown,No,50,75
3.9,10,15,20,25,40,Female,Right,Introvert,Brown,Yes,50,75
1.65,25,50,60,50,50,Male,Right,Introvert,Blond,No,50,75
3.5,40,50,70,40,30,Female,Right,Extrovert,Brown,Yes,75,75
3,90,70,85,50,40,Male,Right,Extrovert,Blond,Yes,100,75
3.51,25,50,15,75,10,Female,Right,Extrovert,Blond,No,100,75
2.5,60,65,75,60,30,Female,Left,Extrovert,Blond,Yes,10,76
2.8,100,75,80,35,20,Male,Right,Extrovert,Brown,Yes,22,76
4,4,10,10,4,30,Female,Right,Introvert,Blond,Yes,30,76
3.34,80,95,60,70,75,Male,Right,Introvert,Brown,No,30,76
3.53,50,90,40,75,60,Male,Right,Introvert,Brown,Yes,50,76
3.45,25,10,25,25,40,Male,Right,Introvert,Blond,No,250,79
3,40,40,0,20,60,Female,Left,Introvert,Brown,Yes,15,80
3.23,30,70,40,70,20,Male,Left,Extrovert,Black,Yes,30,80
4,50,50,80,70,70,Female,Right,Extrovert,Brown,No,40,80
3.5,60,75,50,40,25,Male,Right,Introvert,Brown,No,50,80
3.2,30,40,7,50,20,Male,Right,Introvert,Brown,No,200,80
2.97,5,85,5,50,10,Male,Left,Introvert,Brown,No,2,81
3.46,70,50,75,50,30,Male,Right,Extrovert,Blond,Yes,80,81
3.66,50,15,15,50,50,Male,Right,Introvert,Brown,No,5,82
3.66,75,12,15,50,50,Male,Right,Introvert,Brown,No,5,82
3.8,10,10,10,10,1,Male,Right,Introvert,Brown,No,5,82
3.94,30,60,0,5,40,Female,Right,Introvert,Blond,Yes,15,83
3.8,35,65,20,75,75,Female,Right,Extrovert,Brown,No,32,83
2.78,80,60,86,67,50,Female,Right,Introvert,Brown,No,35,83
2.72,60,75,40,90,10,Male,Right,Extrovert,Brown,No,5,85
2.1,30,25,30,45,25,Female,Left,Extrovert,Brown,No,15,85
3,40,60,30,50,40,Male,Right,Introvert,Brown,No,20,85
3.1,70,70,30,30,85,Male,Right,Extrovert,Brown,No,20,85
3.72,70,90,20,50,50,Female,Right,Introvert,Red,No,50,85
3.5,90,80,50,70,50,Female,Right,Introvert,Black,No,50,85
3.1,50,80,20,75,33,Female,Right,Extrovert,Brown,Yes,50,85
3,80,70,90,70,60,Male,Right,Introvert,Brown,No,5,86
3.81,70,90,40,50,70,Female,Right,Introvert,Brown,Yes,10,86
2.47,80,90,85,95,75,Male,Left,Introvert,Blond,No,20,87
3.4,70,85,80,90,75,Male,Right,Extrovert,Brown,No,20,87
2.85,80,60,90,90,65,Male,Right,Introvert,Brown,No,50,87
2.68,10,50,70,10,45,Female,Right,Extrovert,Blond,No,500,87
2.59,10,25,5,5,10,Female,Right,Introvert,Red,No,4,88
3.55,30,30,70,50,60,Female,Right,Extrovert,Blond,Yes,6,89
3.43,50,70,46,70,40,Male,Right,Introvert,Brown,No,15,89
3,70,60,75,70,45,Male,Right,Introvert,Black,No,15,89
3.3,55,80,75,75,55,Female,Right,Extrovert,Brown,No,40,89
2.93,60,50,30,95,80,Male,Right,Extrovert,Brown,Yes,20,90
2.43,75,50,65,45,20,Male,Right,Extrovert,Brown,Yes,30,90
3.63,70,75,85,50,40,Female,Right,Introvert,Brown,Yes,45,90
4,75,96,50,50,40,Female,Right,Extrovert,Brown,Yes,250,90
3.3,1,1,2,3,23,Male,Ambidextrous,Extrovert,Brown,Yes,30,91
1.58,75,50,30,50,50,Female,Right,Introvert,Brown,Yes,50,91
3.2,75,75,30,90,60,Male,Left,Introvert,Blond,No,30,92
3.28,70,80,60,70,20,Female,Right,Extrovert,Blond,Yes,30,92
3.02,60,70,60,85,30,Male,Right,Introvert,Brown,No,75,92
3.45,85,75,50,65,45,Female,Right,Introvert,Blond,No,20,93
2.2,100,100,100,100,0,Male,Right,Introvert,Brown,Yes,5,94
3.05,80,50,65,50,70,Male,Right,Introvert,Brown,No,10,94
3.1,80,60,80,40,45,Male,Right,Introvert,Brown,Yes,30,94
3.05,20,60,40,30,70,Male,Right,Introvert,Black,No,5,95
3.5,25,70,15,50,50,Female,Right,Introvert,Brown,No,200,95
1.6,50,25,45,50,30,Male,Right,Introvert,Brown,Yes,50,96
3.3,60,30,20,70,40,Male,Right,Extrovert,Brown,No,80,96
2.64,70,75,50,50,60,Female,Right,Introvert,Blond,Yes,5,97
2.44,99.9,66,97,99.9,1,Male,Right,Extrovert,Blond,No,15,97
3.7,60,65,75,70,70,Female,Right,Extrovert,Blond,No,150,97
3.45,70,80,70,80,70,Male,Ambidextrous,Extrovert,Brown,No,100,98
3.56,20,20,50,10,20,Female,Right,Extrovert,Blond,Yes,400,98
2.68,60,60,70,60,60,Male,Right,Introvert,Brown,No,1,100
0,20,50,10,30,60,Female,Left,Introvert,Black,Yes,5,100
2.75,75,90,75,75,75,Male,Right,Extrovert,Brown,Yes,5,100
3.32,65,50,40,35,45,Female,Right,Introvert,Brown,Yes,7,100
3.06,85,95,95,60,75,Male,Right,Extrovert,Brown,Yes,10,100
2.75,50,50,50,50,50,Male,Right,Extrovert,Brown,No,10,100
3,90,80,70,70,40,Male,Right,Introvert,Brown,Yes,15,100
2.39,70,85,60,75,40,Male,Right,Extrovert,Black,No,20,100
3.34,60,75,50,50,30,Male,Right,Extrovert,Brown,No,25,100
3.3,95,70,60,50,70,Male,Right,Extrovert,Black,No,30,100
2.5,50,30,70,70,40,Male,Right,Introvert,Brown,Yes,30,100
3.6,60,60,70,60,80,Female,Right,Extrovert,Brown,No,30,100
3.87,60,60,50,60,50,Female,Right,Extrovert,Brown,Yes,30,100
3.47,60,40,30,50,30,Female,Right,Extrovert,Blond,Yes,30,100
2.75,25,25,35,35,60,Female,Right,Extrovert,Brown,No,30,100
2.9,0,40,85,85,10,Male,Right,Introvert,Black,No,30,100
0,50,60,20,50,60,Female,Right,Extrovert,Brown,No,40,100
2.8,15,15,16,70,5,Male,Right,Introvert,Brown,Yes,45,100
2.92,50,35,50,50,30,Male,Right,Extrovert,Red,No,45,100
3.45,10,10,5,5,1,Female,Right,Extrovert,Blond,Yes,50,100
3.2,10,10,5,50,15,Female,Right,Introvert,Brown,No,50,100
3.6,30,30,50,50,25,Female,Left,Extrovert,Red,No,50,100
3.52,20,40,30,25,30,Male,Right,Extrovert,Blond,Yes,50,100
2.76,99,99,99,99,99,Male,Right,Extrovert,Brown,Yes,50,100
3.52,20,40,20,30,10,Female,Right,Extrovert,Brown,Yes,60,100
3.47,90,80,90,70,60,Male,Right,Introvert,Blond,Yes,60,100
3,90,50,60,50,30,Female,Right,Introvert,Brown,Yes,60,100
3.35,40,45,60,50,35,Male,Left,Introvert,Brown,No,100,100
3.8,50,65,45,50,75,Female,Left,Extrovert,Brown,Yes,100,100
3.4,20,30,70,50,40,Female,Right,Introvert,Black,No,100,100
2.7,50,60,40,50,30,Female,Right,Extrovert,Blond,Yes,100,100
3,60,70,80,40,75,Male,Right,Introvert,Brown,No,100,100
3.1,75,75,95,45,75,Male,Right,Extrovert,Brown,No,100,100
3.52,70,80,20,50,70,Female,Left,Extrovert,Brown,Yes,100,100
2.4,50,60,95,50,50,Male,Right,Introvert,Black,No,100,100
3.27,80,80,90,60,40,Male,Right,Extrovert,Brown,No,200,100
2.94,5,10,0,10,50,Female,Right,Introvert,Brown,No,500,100
3.2,50,60,25,25,25,Female,Right,Extrovert,Brown,Yes,30,102
3.3,5,80,80,50,70,Female,Right,Extrovert,Black,Yes,100,102
2.8,80,30,85,50,60,Male,Right,Extrovert,Brown,No,25,103
2.6,50,25,70,50,50,Male,Right,Extrovert,Brown,No,25,103
3.67,25,60,35,40,40,Female,Right,Introvert,Brown,No,30,103
3.87,75,50,10,75,50,Female,Left,Introvert,Brown,Yes,50,103
3.19,5,10,25,25,20,Female,Right,Introvert,Black,No,150,103
3.9,100,85,79,65,60,Male,Right,Introvert,Brown,No,10,104
2.42,25,50,65,50,25,Male,Right,Introvert,Blond,No,10,105
2.7,90,75,75,90,60,Male,Left,Introvert,Brown,No,12,105
3.53,20,35,15,25,10,Female,Right,Introvert,Brown,No,15,105
2.8,60,75,80,45,90,Male,Right,Introvert,Red,No,15,105
3.26,50,25,25,50,50,Female,Left,Introvert,Blond,No,30,105
3.26,60,30,30,50,50,Female,Left,Introvert,Blond,No,30,105
2.99,25,10,1,30,30,Female,Right,Extrovert,Blond,Yes,100,105
3.77,100,100,100,100,100,Male,Right,Introvert,Brown,No,100,107
3.08,70,40,60,40,60,Female,Right,Introvert,Red,No,50,108
3.6,60,30,30,60,10,Female,Right,Extrovert,Brown,No,250,108
2.94,15,10,15,65,10,Female,Right,Introvert,Brown,Yes,250,108
2.94,10,10,15,70,10,Female,Right,Introvert,Brown,Yes,250,108
3.48,1,0,2,3,0,Female,Right,Introvert,Brown,No,20,109
2.85,47,42,42,80,70,Male,Left,Extrovert,Brown,No,75,109
3.88,50,80,40,50,50,Female,Right,Introvert,Brown,No,5,110
3,65,50,10,80,20,Female,Right,Introvert,Brown,No,6,110
3.86,90,80,80,70,50,Female,Right,Extrovert,Blond,No,6,110
2.6,50,30,75,50,45,Female,Left,Introvert,Black,Yes,10,110
2.75,50,45,70,70,35,Male,Right,Extrovert,Black,No,25,110
4,30,70,10,15,60,Female,Right,Extrovert,Brown,Yes,100,110
2.21,50,70,20,50,50,Male,Right,Extrovert,Brown,No,70,111
3.81,95,92,92,70,60,Male,Left,Extrovert,Brown,Yes,30,112
2.7,50,65,40,75,75,Male,Right,Extrovert,Brown,No,50,112
3.67,25,25,10,10,10,Female,Right,Introvert,Blond,Yes,100,112
3,45,60,30,40,60,Female,Right,Introvert,Black,Yes,12,113
3.22,60,60,60,40,70,Male,Left,Introvert,Brown,Yes,100,113
2.38,25,25,25,15,45,Male,Right,Extrovert,Brown,No,20,114
3.33,50,50,70,50,60,Female,Right,Extrovert,Brown,No,50,114
4,50,90,60,30,30,Female,Right,Introvert,Brown,Yes,25,115
4,70,99,40,50,75,Female,Right,Introvert,Blond,Yes,50,115
3.32,5,20,0,30,20,Female,Right,Introvert,Brown,Yes,100,115
3.39,70,60,40,75,25,Female,Ambidextrous,Extrovert,Black,Yes,50,117
3.65,50,30,40,80,20,Female,Right,Introvert,Brown,No,55,118
3.6,30,40,20,30,40,Female,Right,Introvert,Blond,No,60,118
2.76,60,50,60,70,90,Male,Right,Introvert,Brown,Yes,10,119
4,25,75,20,45,25,Female,Right,Extrovert,Brown,No,40,119
3.2,70,65,75,75,10,Male,Right,Extrovert,Brown,No,80,119
3.94,50,90,50,20,20,Female,Right,Introvert,Brown,No,25,120
3.09,50,75,5,50,10,Female,Right,Extrovert,Blond,Yes,25,120
3.35,75,75,85,50,70,Male,Right,Introvert,Brown,Yes,40,120
3.87,30,30,20,10,10,Female,Left,Introvert,Blond,Yes,40,120
3.27,50,75,80,60,45,Male,Right,Extrovert,Blond,Yes,50,120
3.3,30,50,10,30,5,Male,Left,Introvert,Black,Yes,75,120
3,100,50,95,20,20,Female,Right,Extrovert,Brown,Yes,100,120
3.75,40,75,10,50,50,Male,Right,Introvert,Brown,Yes,100,120
3.01,88,75,87,75,45,Male,Right,Extrovert,Brown,Yes,50,121
2.68,80,97,75,80,30,Male,Right,Extrovert,Brown,No,15,123
2.75,70,60,70,80,40,Male,Right,Extrovert,Blond,No,20,123
2.42,100,100,30,100,10,Male,Right,Extrovert,Black,Yes,20,123
3.78,25,85,50,25,50,Male,Right,Introvert,Brown,No,20,124
4,75,45,65,75,50,Female,Ambidextrous,Extrovert,Brown,No,30,124
3.62,60,80,40,40,50,Female,Right,Extrovert,Brown,Yes,50,125
2.75,0,20,100,30,30,Female,Right,Introvert,Brown,No,100,125
3.2,75,75,75,99,23,Male,Ambidextrous,Extrovert,Brown,Yes,100,125
3,99.9,51,85,68,45,Male,Right,Extrovert,Brown,No,100,125
2.3,50,40,40,40,20,Female,Right,Extrovert,Brown,No,100,125
3.18,0,0,0,0,0,Female,Right,Introvert,Brown,No,7,126
3.2,50,75,15,75,15,Female,Left,Extrovert,Brown,Yes,10,126
2.75,50,45,40,75,20,Male,Right,Extrovert,Brown,No,15,126
2.8,15,10,35,40,10,Female,Right,Introvert,Brown,No,100,126
3.9,40,70,40,60,40,Female,Right,Extrovert,Red,No,150,126
3.88,60,60,20,70,20,Male,Right,Introvert,Brown,No,3,127
3.3,75,50,80,75,70,Male,Right,Extrovert,Blond,Yes,100,127
3.83,55,55,30,45,15,Female,Left,Introvert,Red,No,10,130
3.33,70,45,40,50,50,Female,Right,Extrovert,Brown,Yes,20,130
3.1,60,50,20,80,10,Male,Right,Introvert,Brown,Yes,20,130
2.46,70,80,10,90,50,Male,Left,Extrovert,Black,No,30,130
2.54,50,10,2,10,0,Female,Right,Introvert,Brown,Yes,50,130
3.29,90,85,80,30,40,Female,Right,Extrovert,Black,Yes,75,130
3.78,40,79,45,10,40,Female,Right,Introvert,Blond,Yes,10,132
3.2,25,50,50,50,25,Female,Right,Introvert,Red,No,12,132
3.18,50,70,40,10,80,Female,Right,Extrovert,Brown,Yes,30,132
3,40,20,70,70,20,Male,Right,Introvert,Brown,No,50,132
3.74,70,70,30,20,80,Female,Right,Introvert,Brown,Yes,200,132
2.89,50,50,75,50,75,Female,Right,Introvert,Red,Yes,75,134
3.3,95,65,40,80,10,Female,Right,Extrovert,Brown,Yes,75,134
3.26,20,50,35,10,40,Female,Right,Extrovert,Brown,Yes,400,134
2.5,0,30,20,15,40,Male,Right,Extrovert,Brown,No,10,135
3.91,40,80,75,95,60,Male,Right,Introvert,Black,No,30,135
3.74,30,50,10,5,20,Female,Right,Introvert,Blond,Yes,100,135
4,20,90,5,40,50,Female,Right,Extrovert,Brown,No,150,135
3.77,50,50,60,50,40,Male,Right,Extrovert,Brown,Yes,200,135
3.85,80,75,50,50,60,Male,Right,Extrovert,Brown,No,50,136
3.7,30,85,40,80,40,Female,Right,Extrovert,Brown,Yes,150,137
2.89,100,50,10,25,70,Male,Right,Extrovert,Brown,No,50,139
3.18,70,90,60,90,85,Male,Right,Extrovert,Blond,No,15,140
2.5,40,30,35,45,10,Female,Left,Introvert,Brown,No,20,140
3.2,20,40,10,50,10,Female,Right,Introvert,Brown,No,300,140
3.88,33,10,15,30,75,Male,Right,Introvert,Brown,No,10,141
3.86,25,70,25,35,25,Female,Left,Introvert,Brown,Yes,15,141
4,20,50,30,10,60,Female,Right,Introvert,Blond,Yes,30,143
3.5,20,10,60,30,50,Female,Right,Introvert,Blond,No,25,144
2.3,87,70,2,30,30,Female,Right,Extrovert,Brown,Yes,30,144
3.1,70,90,80,60,30,Male,Right,Introvert,Brown,No,100,144
2.39,75,50,75,85,75,Male,Right,Extrovert,Brown,Yes,20,145
2.4,100,100,100,100,0,Male,Right,Introvert,Brown,Yes,30,145
3.43,70,85,90,95,75,Female,Right,Extrovert,Brown,Yes,100,145
3,30,25,20,0,30,Female,Right,Extrovert,Brown,No,150,145
2.9,20,10,45,15,48,Female,Right,Extrovert,Brown,No,30,147
3.59,45,80,35,50,60,Male,Left,Extrovert,Brown,No,75,147
3.2,86,86,46,86,86,Female,Right,Introvert,Red,Yes,40,148
3.61,70,75,70,60,30,Male,Right,Extrovert,Brown,No,70,148
2.72,40,60,60,20,40,Male,Right,Introvert,Brown,No,50,149
4,50,90,70,75,50,Female,Right,Extrovert,Red,Yes,75,149
2.8,40,40,10,60,60,Female,Right,Extrovert,Blond,Yes,300,149
1.5,40,30,40,30,70,Male,Right,Introvert,Black,Yes,3,150
1.5,40,40,40,30,70,Male,Right,Introvert,Black,Yes,3,150
3.76,50,75,50,25,70,Female,Right,Extrovert,Blond,No,8,150
2.88,30,50,50,25,50,Female,Right,Introvert,Brown,Yes,10,150
3,50,60,65,50,60,Male,Right,Introvert,Red,No,10,150
2.44,89,50,90,80,85,Male,Right,Introvert,Black,No,10,150
3.57,50,70,50,40,30,Female,Right,Extrovert,Brown,No,20,150
3.88,50,80,50,60,60,Female,Right,Introvert,Brown,No,20,150
2.9,60,50,65,50,60,Male,Right,Extrovert,Brown,No,20,150
2.9,20,30,40,70,20,Male,Right,Extrovert,Brown,No,20,150
3.36,30,15,30,30,20,Female,Right,Introvert,Brown,No,25,150
3,70,80,56,23,45,Male,Right,Introvert,Brown,No,25,150
3.38,85,85,60,85,40,Female,Right,Introvert,Blond,Yes,30,150
3.5,30,20,40,20,20,Female,Left,Extrovert,Brown,No,30,150
3,85,50,50,60,50,Female,Right,Extrovert,Brown,No,30,150
2.8,50,50,50,75,50,Male,Left,Extrovert,Blond,Yes,50,150
3,80,60,60,60,60,Female,Right,Extrovert,Brown,Yes,50,150
2.4,20,20,25,80,10,Male,Right,Introvert,Brown,Yes,50,150
3.6,70,85,20,90,65,Female,Right,Extrovert,Brown,Yes,50,150
3.62,50,80,20,80,40,Male,Right,Extrovert,Black,No,50,150
3.96,20,70,30,10,10,Male,Right,Introvert,Brown,No,100,150
3.86,30,50,30,50,40,Male,Right,Extrovert,Brown,No,100,150
3.21,80,50,80,30,90,Female,Right,Extrovert,Brown,Yes,100,150
4,50,85,40,40,50,Female,Right,Introvert,Brown,Yes,100,150
3,20,50,40,30,50,Female,Right,Extrovert,Brown,Yes,150,150
3.47,87,93,56,7,78,Female,Right,Introvert,Blond,No,200,150
4,50,75,75,25,25,Female,Right,Extrovert,Brown,No,200,150
3.93,40,60,45,15,80,Female,Right,Extrovert,Red,No,200,150
2.6,10,5,0,20,10,Female,Right,Extrovert,Blond,No,300,150
4,50,75,75,25,15,Male,Left,Introvert,Blond,Yes,1000,150
2.83,45,30,15,30,45,Female,Right,Introvert,Brown,Yes,15,151
2.4,88,42,20,78,45,Female,Right,Introvert,Brown,Yes,75,151
2.96,40,55,20,15,5,Female,Right,Introvert,Black,No,50,153
3.9,10,50,30,0,30,Female,Right,Introvert,Blond,Yes,70,155
3.65,90,95,65,50,90,Male,Right,Introvert,Blond,Yes,10,158
3.5,90,80,80,98,68,Male,Right,Extrovert,Brown,No,200,159
3.57,66,90,95,50,99,Male,Right,Extrovert,Brown,No,20,160
3.14,25,20,10,15,40,Female,Right,Introvert,Blond,No,30,160
3.15,85,70,90,85,50,Male,Left,Extrovert,Brown,No,30,160
3.4,5,5,50,5,10,Female,Right,Introvert,Blond,Yes,75,160
3.5,38,80,95,30,60,Male,Right,Introvert,Blond,Yes,75,160
3.11,60,60,73,35,55,Female,Right,Extrovert,Brown,Yes,10,161
2.75,97,86,74,82,71,Male,Right,Introvert,Brown,No,20,161
4,30,40,17,13,35,Female,Right,Introvert,Brown,No,25,163
2.5,75,50,75,95,40,Male,Right,Extrovert,Brown,Yes,50,163
3.54,40,60,30,40,60,Female,Right,Introvert,Red,Yes,3,164
2.75,70,50,70,40,90,Male,Right,Introvert,Brown,No,7,164
